daily,customer,dividend,shareholder_meeting,actual
8월14일,1504,9,0,6288
8월15일,464,0,0,0
8월16일,1280,1,1,1122
8월17일,2159,0,0,913
8월18일,2867,0,0,14
8월19일,2471,0,0,5
8월20일,1533,0,0,13
8월21일,1802,0,0,12
8월22일,1276,2,0,13
8월23일,1890,6,0,15
8월24일,2812,3,0,20
8월25일,3306,11,0,21
8월26일,4073,5,1,36
8월27일,3043,11,0,16
8월28일,4292,2,2,63
8월29일,1342,1,0,150
8월30일,2261,2,1,0
8월31일,1958,6,2,45
9월1일,2584,0,0,5
9월2일,1708,0,0,5
9월3일,2011,0,0,2
9월4일,5106,3,0,1
9월5일,2691,0,0,4
9월6일,2648,2,0,5
9월7일,2280,4,0,2
9월8일,2308,2,0,4
9월9일,3880,0,0,3
9월10일,5821,4,0,4
9월11일,2360,2,0,7
9월12일,944,1,0,5
9월13일,1569,0,0,10
9월14일,1744,0,0,14
9월15일,1957,0,0,5
9월16일,2893,0,0,3
9월17일,3218,3,0,14
9월18일,3042,0,5,7
9월19일,1810,2,1,12
9월20일,1564,2,1,11
9월21일,3755,2,5,6
9월22일,2292,2,5,2
9월23일,3277,1,9,1
9월24일,4486,1,1,5
9월25일,18442,0,19,2
9월26일,1529,0,6,0
9월27일,1931,0,8,2
9월28일,2264,0,21,8
9월29일,1417,0,4,1
9월30일,1849,0,6,7
10월1일,1223,1,0,2
10월2일,616,3,0,5
10월3일,217,0,0,0
10월4일,1309,0,0,4
10월5일,1731,2,0,3
10월6일,1995,2,0,2
10월7일,1844,3,0,1
10월8일,1543,0,0,10
10월9일,685,0,0,0
10월10일,1964,12,0,6
10월11일,1654,1,0,2
10월12일,2103,6,0,3
10월13일,1779,2,1,2
10월14일,2634,2,0,5
10월15일,2304,1,1,7
10월16일,2730,2,0,3
10월17일,2017,3,1,3
10월18일,2215,2,0,3
10월19일,2369,0,0,3
10월20일,3396,2,0,3
10월21일,3900,0,0,8
10월22일,3577,1,1,0
10월23일,2198,0,0,1
10월24일,1046,0,0,5
10월25일,1647,6,4,1
10월26일,2529,1,0,10
10월27일,1825,2,2,6
10월28일,2629,1,0,3
10월29일,1934,7,1,5
10월30일,1797,3,1,14
10월31일,1658,9,0,7
11월1일,1864,3,0,6
11월2일,1891,1,0,10
11월3일,1550,2,0,14
11월4일,1987,1,0,18
11월5일,1895,5,0,24
11월6일,1718,5,0,29
11월7일,1417,3,1,22
11월8일,1740,10,0,39
11월9일,1962,6,0,75
11월10일,1976,5,0,136
11월11일,1937,2,0,408
11월12일,2066,0,0,261
11월13일,1906,3,0,1636
11월14일,1538,5,0,6056
11월15일,1749,10,0,22
11월16일,2191,6,0,2305
11월17일,1934,2,0,23
11월18일,3114,0,3,18
11월19일,3416,2,0,6
11월20일,2826,2,0,13
11월21일,4088,0,0,13
11월22일,1744,2,0,13
11월23일,1629,2,3,11
11월24일,2633,2,0,11
11월25일,2068,4,2,18
11월26일,2544,3,0,13
11월27일,6774,8,1,57
11월28일,2371,2,0,36
11월29일,1660,4,1,161
11월30일,2624,16,0,53
12월1일,2830,0,0,3
12월2일,2263,2,0,0
12월3일,2453,2,1,0
12월4일,2413,16,0,2
12월5일,2022,24,0,0
12월6일,2964,16,0,4
12월7일,2596,34,0,1
12월8일,2488,16,0,1
12월9일,2951,16,2,1
12월10일,3316,22,0,2
12월11일,2845,48,0,2
12월12일,2195,22,0,7
12월13일,2055,28,0,3
12월14일,2340,54,2,4
12월15일,2314,52,0,7
12월16일,3215,72,1,2
12월17일,2845,56,0,1
12월18일,2260,80,2,10
12월19일,2331,44,2,3
12월20일,1992,64,4,6
12월21일,2783,72,4,7
12월22일,1874,28,5,3
12월23일,1921,40,3,3
12월24일,2233,46,3,2
12월25일,609,0,0,0
12월26일,1738,16,1,1
12월27일,4376,6,5,1
12월28일,2537,14,6,3
12월29일,1902,0,7,0
12월30일,1100,2,1,3
12월31일,370,0,0,0
