code,company,sector,summary
A005930,삼성전자,반도체와반도체장비,"한국 및 CE, IM부문 해외 9개 지역총괄과 DS부문 해외 5개 지역총괄, Harman 등 234개의 종속기업으로 구성된 글로벌 전자기업임. 세트사업에는 TV, 냉장고 등을 생산하는 CE부문과 스마트폰, 네트워크시스템, 컴퓨터 등을 생산하는 IM부문이 있음. 부품사업(DS부문)에서는 D램, 낸드 플래쉬, 모바일AP 등의 제품을 생산하는 반도체 사업과 TFT-LCD 및 OLED 디스플레이 패널을 생산하는 DP사업으로 구성됨."
A373220,LG에너지솔루션,전자와 전기제품,"동사는 EV(Electric Vehicle), ESS, LEV 등에 적용되는 전지 관련 제품의 연구, 개발, 제조, 판매를 주요영업으로 하고 있음. 제품 경쟁력과 대규모 생산능력을 기반으로 글로벌OEM을 비롯한 다양한 글로벌 고객사를 확보하여 높은 시장 점유율을 보임. 배터리 Recycle/Reuse 사업, 배터리 전체 생애주기를 관리해 새로운 부가가치를 창출해내는 BaaS 사업 등을 추진 계획에 있음."
A000660,SK하이닉스,반도체와반도체장비,"1983년 현대전자로 설립됐고, 2001년 하이닉스반도체를 거쳐 2012년 최대주주가 SK텔레콤으로 바뀌면서 SK하이닉스로 상호를 변경함. 주력제품은 DRAM, 낸드플래쉬, MCP와 같은 메모리 반도체이며, 2007년부터 시스템LSI 분야인 CIS 사업에 재진출함. 20년 10월 인텔의 NAND사업을, 21년 10월 키파운드리 지분 100%를 양수하기로 결정함. 세계 반도체시장 점유율은 D램 28.0%, 낸드플래시 12.9%임."
A207940,삼성바이오로직스,제약과생물공학,"삼성그룹의 계열사로 2011년 4월 설립되었으며, 국내외 제약회사의 첨단 바이오의약품을 위탁 생산하는 CMO 사업을 영위. 2018년 cGMP 생산을 시작하여 2019년말 기준 36.2만리터 생산설비를 가동 중이며, 이 시장에서 선발업체를 추월해 생산설비 기준 세계 1위 CMO로 도약. 동사의 바이오의약품 연구개발 자회사인 삼성바이오에피스와 아키젠바이오텍은 바이오시밀러 개발 및 상업화를 진행 중."
A035420,NAVER,미디어와엔터테인먼트,"동사는 국내 1위 포털 서비스를 기반으로 광고, 쇼핑, 디지털 간편결제 사업을 영위하고 있으며, 공공/금융 분야를 중심으로 클라우드를 비롯한 다양한 IT 인프라 및 기업향 솔루션 제공을 확대해가고 있음. 웹툰, Zepeto, V LIVE 등 다양한 콘텐츠 사업을 통해서도 글로벌 사업 기반을 확장하고 있는 ICT 기업임. 네이버파이낸셜, 네이버 클라우드 등 연결대상 종속회사 76개를 보유함."
A035720,카카오,미디어와엔터테인먼트,"국내 시장 점유율 1위 메신저 카카오톡을 중심으로 커머스, 모빌리티, 페이, 게임, 뮤직, 콘텐츠 등 다양한 영역에서 수익을 창출하고 있음. 2021년 상반기 누적 기준 매출은 플랫폼 부문 51.39%, 콘텐츠 부문 48.61%로 구성됨. 경쟁사 네이버에 비해 해외 사업 실적이 부진하다는 평가를 받아왔으나 최근 웹툰 플랫폼 픽코마가 일본 시장에서 1위를 차지하는 등 개선되고 있음."
